company,valuation_usd_b,unicorn_year,country,City,sector,select_investors
OpenAI,$840,2019,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Sequoia Capital"
ByteDance,$480,2017,China,Beijing,Media & Entertainment,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group"
SpaceX,$400,2012,United States,Hawthorne,Industrials,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Anthropic,$380,2023,United States,San Francisco,Enterprise Tech,Google
Stripe,$159,2014,United States,San Francisco,Financial Services,"Khosla Ventures, LowercaseCapital, capitalG"
Databricks,$100,2019,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
VAST Data,$80,2020,United States,New York,Enterprise Tech,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Revolut,$75,2018,United Kingdom,London,Financial Services,"Index Ventures, DST Global, Ribbit Capital"
SHEIN,$66,2018,Singapore,Singapore,Consumer & Retail,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Ripple,$40,2019,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners"
Figure,$39,2024,United States,San Jose,Industrials,"Intel Capital, Parkway VC, Amazon Industrial Innovation Fund"
Ramp,$32,2021,United States,New York,Enterprise Tech,"D1 Capital Partners, Stripe, Coatue Management"
Canva,$32,2018,Australia,Surry Hills,Enterprise Tech,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Fanatics,$31,2012,United States,Jacksonville,Consumer & Retail,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Safe Superintelligence,$30,2024,United States,Palo Alto,Enterprise Tech,"Sequoia Capital, DST Global, Andreessen Horowitz"
Anysphere,$29.3,2024,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Thrive Capital, OpenAI Startup Fund"
OKX,$25,2026,Seychelles,Mahe,Financial Services,Morningstar Ventures
Epic Games,$22.5,2018,United States,Cary,Media & Entertainment,"Tencent Holdings, KKR, Smash Ventures"
Chime,$25,2019,United States,San Francisco,Financial Services,"Forerunner Ventures, Crosslink Capital, Homebrew"
Chobani,$20,2025,United States,New York,Consumer & Retail,
Perplexity,$20,2024,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Institutional Venture Partners, NVentures"
Deel,$17.5,2021,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Spark Capital, Y Combinator"
Miro,$17.50,2022,United States,San Francisco,Enterprise Tech,"Accel, AltaIR Capital, Technology Crossover Ventures"
Xiaohongshu,$17,2016,China,Shanghai,Media & Entertainment,"GGV Capital, ZhenFund, Tencent"
Rippling,$16.8,2020,United States,San Francisco,Enterprise Tech,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Yuanfudao,$15.50,2017,China,Beijing,Consumer & Retail,"Tencent Holdings, Warbug Pincus, IDG Capital"
DJI Innovations,$15,2015,China,Shenzhen,Industrials,"Accel Partners, Sequoia Capital"
ClickHouse,$15,2021,United States,Redwood City,Enterprise Tech,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Discord,$15,2018,United States,San Francisco,Media & Entertainment,"Benchmark, Greylock Partners, Tencent Holdings"
Yuanqi Senlin,$15,2020,China,Beijing,Consumer & Retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
Trade Republic,$14.65,2021,Germany,Berlin,Financial Services,"Founders Fund. Accel, Creandum"
ArtIn Energy,$14.5,2026,United States,Tampa,Industrials,
Skild AI,$14,2024,United States,Pittsburgh,Industrials,"CRV, General Catalyst, Menlo Ventures"
Anduril,$14,2019,United States,Irvine,Industrials,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Scale,$13.8,2019,United States,San Francisco,Enterprise Tech,"Accel, Y Combinator, Index Ventures"
OpenSea,$13.30,2021,United States,New York,Media & Entertainment,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Mistral AI,$13.25,2023,France,Paris,Enterprise Tech,"Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz"
Celonis,$13,2018,Germany,Munich,Enterprise Tech,"Accel, 83North"
Grammarly,$13,2019,United States,San Francisco,Media & Entertainment,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Devoted Health,$12.90,2018,United States,Waltham,Healthcare & Life Sciences,"Andreessen Horowitz, F-Prime Capital, Venrock"
Faire,$12.59,2019,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Labs,$12.5,2025,United States,Beverly Hills,Enterprise Tech,"JET Venture Capital, Sivad VC"
Brex,$12.30,2018,United States,Salt Lake City,Enterprise Tech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
JUUL Labs,$12,2017,United States,San Francisco,Consumer & Retail,Tiger Global Management
Bitmain Technologies,$12,2018,China,Beijing,Enterprise Tech,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,$12,2021,United States,Roseville,Financial Services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,$12,2020,China,Changsha,Consumer & Retail,"KKR, Tencent Holdings, Sequoia Capital China"
Airtable,$11.70,2018,United States,San Francisco,Enterprise Tech,"Caffeinated Capital, CRV, Founder Collective"
Whatnot,$11.5,2021,United States,Marina del Rey,Consumer & Retail,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
ElevenLabs,$11,2024,United States,New York,Enterprise Tech,"Andreessen Horowitz, Credo Ventures, Sequoia Capital"
ZongMu Technology,$11.40,2021,China,Shanghai,Industrials,"LTW Capital, Legend Capital, Qualcomm Ventures"
Oura,$11,2022,Finland,Oulu,Healthcare & Life Sciences,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Notion,$11,2020,United States,San Francisco,Enterprise Tech,"Index Ventures, Draft Ventures, Felicis Ventures"
Bending Spoons,$11.71,2024,Italy,Milan,Consumer & Retail,"Durable Capital Partners, Adjacent, Creator Partners"
Global Switch,$11.10,2016,United Kingdom,London,Enterprise Tech,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Checkout.com,$11,2019,United Kingdom,London,Financial Services,"Tiger Global Management, Insight Partners, DST Global"
Bolt,$11,2021,United States,San Francisco,Financial Services,"Activant Capital, Tribe Capital, General Atlantic"
Sierra,$10,2024,United States,San Francisco,Enterprise Tech,"Benchmark, Sequoia Capital, Greenoaks"
Alchemy,$10.20,2021,United States,San Francisco,Enterprise Tech,"DFJ Growth Fund, Coatue Management, Addition"
Quince,$10.1,2025,United States,San Francisco,Enterprise Tech,"8VC, Notable Capital"
Bilt Rewards,$10.75,2022,United States,New York,Financial Services,"Camber Creek, Kairos HQ, Fifth Wall Ventures"
Colossal,$10.2,2023,United States,Austin,Healthcare & Life Sciences,"Animal Capital, Breyer Capital, In-Q-Tel"
Huolala,$10,2019,China,Guangzhou,Industrials,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Thinking Machines Lab,$10,2025,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Accel"
Crusoe,$10,2022,United States,Denver,Industrials,"Bain Capital Ventures, Founders Fund, Winklevoss Capital"
Gusto,$10,2015,United States,San Francisco,Financial Services,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Chehaoduo,$10,2016,China,Beijing,Consumer & Retail,"Sequoia Capital China, GX Capital"
Talkdesk,$10,2018,United States,San Francisco,Enterprise Tech,"DJF, Salesforce Ventures, Storm Ventures"
Mercor,$10,2025,United States,San Francisco,Enterprise Tech,"Felicis, Benchmark"
Digital Currency Group,$10,2021,United States,New York,Financial Services,"Ribbit Capital, capitalG, Softbank Group"
KuCoin,$10,2022,Seychelles,Victoria,Financial Services,"IDG Capital, Matrix Partners China, Jump Crypto"
Cognition AI,$9.8,2024,United States,San Francisco,Enterprise Tech,"Founders Fund, Khosla Ventures"
Neuralink,$9.65,2021,United States,Fremont,Healthcare & Life Sciences,"Craft Ventures, Founders Fund, VY Capital"
HEYTEA,$9.28,2019,China,Shenzhen,Consumer & Retail,"Sequoia Capital China, Tencent Investment, BA Capital"
N26,$9.23,2019,Germany,Berlin,Financial Services,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Navan,$9.20,2018,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Polymarket,$9,2025,United States,New York,Financial Services,"1789 Capital, Founders Fund"
Tanium,$9,2015,United States,Kirkland,Enterprise Tech,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Niantic,$9,2017,United States,San Francisco,Media & Entertainment,"Nintendo, Google, Pokemon Company International, Spark Capital"
OYO Rooms,$9,2018,India,Gurugram,Consumer & Retail,"SoftBank Group, Sequoia Capital India, Lightspeed India Partners"
Rapyd,$8.75,2019,United Kingdom,London,Financial Services,"Target Global, General Catalyst, Durable Capital Partners"
Wayve,$8.60,2024,United Kingdom,London,Enterprise Tech,
Chainalysis,$8.60,2020,United States,New York,Financial Services,"Addition, Benhcmark, Accel"
Gopuff,$8.5,2020,United States,Philadelphia,Consumer & Retail,"Accel, SoftBank Group, Anthos Capital"
Personio,$8.50,2021,Germany,Munich,Enterprise Tech,"Global Founders Capital, Nortzone Ventures, Picus Capital"
SumUp,$8.50,2019,United States,Wilmington,Financial Services,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
Bolt,$8.40,2018,Estonia,Tallinn,Industrials,"Didi Chuxing, Diamler, TMT Investments"
Tipalti,$8.30,2020,United States,San Mateo,Enterprise Tech,"01 Advisors, Zeev Ventures, Group 11"
Odoo,$8.13,2021,Belgium,Louvain-la-Neuve,Enterprise Tech,"Summit Partners, Noshaq, Sofinnova Partners"
Dream11,$8,2019,India,Mumbai,Media & Entertainment,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Plaid,$8,2018,United States,San Francisco,Financial Services,"New Enterprise Associates, Spar Capital, Index Ventures"
Reflection AI,$8,2025,United States,Brooklyn,Enterprise Tech,"1789 Capital, Charles River Ventures, Sequoia Capital"
Airwallex,$8,2019,Singapore,,Financial Services,"DST Global, Sequoia Capital China, Tencent Holdings"
Global Eggs,$8,2026,Canada,Etobicoke,Industrials,
Fireblocks,$8,2021,United States,New York,Financial Services,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,$8,2018,United States,San Francisco,Industrials,"Bloomberg Beta, Founders Fund, First Round Capital"
FalconX,$8,2021,United States,San Mateo,Financial Services,"Tiger Global Management, American Express Ventures, B Capital Group"
Caris,$7.83,2021,United States,Irving,Healthcare & Life Sciences,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Dapper Labs,$7.60,2021,Canada,Vancouver,Media & Entertainment,"Union Square Ventures, Venrock, Andreessen Horowitz"
